exp_id,coherence,noise_std,Accuracy (%),Accuracy Difference (%),Accuracy CI Low (%),Accuracy CI High (%),Accuracy Diff CI Low (%),Accuracy Diff CI High (%),Mean Correct RT (ms),Mean Correct RT CI Margin (ms),Correct RT std (ms),Correct RT std CI Low (ms),Correct RT std CI High (ms),Inverse Efficiency,Correct Decision (%),Wrong Decision (%),No Decision (%),Premature (%),Wrong Decision CI Low (%),Wrong Decision CI High (%),Mean PD Variability,Mean PD Variability CI Margin
0,1.0,0.125,100.0,0.0,96.3,100.0,-7.13,7.13,37.58,0.25,1.24,1.13,1.37,37.58,100.0,0.0,0.0,0.0,0.0,3.7,0.032,0.0
1,1.0,0.25,100.0,0.0,96.3,100.0,-7.13,7.13,38.0,0.3,1.52,1.38,1.69,38.0,100.0,0.0,0.0,0.0,0.0,3.7,0.032,0.0
2,1.0,0.5,100.0,0.0,96.3,100.0,-7.13,7.13,38.38,0.41,2.04,1.83,2.35,38.38,100.0,0.0,0.0,0.0,0.0,3.7,0.032,0.0
3,0.3,0.125,100.0,0.0,96.3,100.0,-7.13,7.13,46.75,0.6,3.04,2.46,4.58,46.75,100.0,0.0,0.0,0.0,0.0,3.7,0.048,0.002
4,0.3,0.25,100.0,0.0,96.3,100.0,-7.13,7.13,48.93,1.37,6.9,5.45,9.06,48.93,100.0,0.0,0.0,0.0,0.0,3.7,0.07,0.002
5,0.3,0.5,100.0,0.0,96.3,100.0,-7.13,7.13,56.5,3.57,17.99,14.73,23.79,56.5,100.0,0.0,0.0,0.0,0.0,3.7,0.144,0.007
6,0.15,0.125,100.0,0.0,96.3,100.0,-7.13,7.13,132.69,13.62,68.64,53.67,95.33,132.69,100.0,0.0,0.0,0.0,0.0,3.7,0.071,0.002
7,0.15,0.25,100.0,0.0,96.3,100.0,-7.13,7.13,121.0,13.54,68.22,54.53,95.98,121.0,100.0,0.0,0.0,0.0,0.0,3.7,0.148,0.004
8,0.15,0.5,99.0,-2.0,94.55,99.82,-10.5,5.32,103.45,12.82,64.27,51.23,83.32,104.5,99.0,1.0,0.0,0.0,0.18,5.45,0.251,0.006
9,0.1,0.125,22.0,8.0,15.0,31.07,-8.32,23.86,452.41,,222.11,,,2056.4,22.0,0.0,78.0,0.0,0.0,3.7,0.111,
10,0.1,0.25,97.0,-2.0,91.55,98.97,-11.6,6.98,241.52,31.72,157.38,133.07,190.48,248.99,97.0,0.0,3.0,0.0,0.0,3.7,0.191,0.005
11,0.1,0.5,97.0,6.0,91.55,98.97,-2.15,16.22,183.52,28.39,140.88,112.31,190.69,189.19,97.0,3.0,0.0,0.0,1.03,8.45,0.265,0.007
12,0.08,0.125,5.0,-2.0,2.15,11.18,-12.62,8.25,539.8,,325.55,,,10796.0,5.0,0.0,95.0,0.0,0.0,3.7,0.131,
13,0.08,0.25,75.0,-22.0,65.7,82.45,-37.55,-4.99,405.93,50.79,220.77,197.66,247.32,541.24,75.0,0.0,25.0,0.0,0.0,3.7,0.202,0.004
14,0.08,0.5,98.0,4.0,93.0,99.45,-3.7,13.46,186.58,25.95,129.45,104.95,167.98,190.39,98.0,2.0,0.0,0.0,0.55,7.0,0.268,0.005
15,0.05,0.125,0.0,0.0,0.0,3.7,-7.13,7.13,,,,,,,0.0,0.0,100.0,0.0,0.0,3.7,,
16,0.05,0.25,35.0,-10.0,26.36,44.75,-27.6,8.51,422.57,81.37,236.88,206.97,274.86,1207.35,35.0,0.0,65.0,0.0,0.0,3.7,0.209,0.006
17,0.05,0.5,82.0,-8.0,73.33,88.3,-23.0,7.3,254.17,35.43,161.23,139.33,190.4,309.96,82.0,15.0,3.0,0.0,9.31,23.28,0.244,0.008
18,0.03,0.125,0.0,0.0,0.0,3.7,-7.13,7.13,,,,,,,0.0,0.0,100.0,0.0,0.0,3.7,,
19,0.03,0.25,11.0,-6.0,6.25,18.63,-19.11,6.93,455.91,,178.17,,,4144.63,11.0,0.0,89.0,0.0,0.0,3.7,0.186,
20,0.03,0.5,75.0,6.0,65.7,82.45,-10.92,22.5,265.37,47.22,205.24,172.14,243.49,353.83,75.0,20.0,5.0,0.0,13.34,28.88,0.236,0.007
21,0.01,0.125,0.0,0.0,0.0,3.7,-7.13,7.13,,,,,,,0.0,0.0,100.0,0.0,0.0,3.7,,
22,0.01,0.25,0.0,0.0,0.0,3.7,-7.13,7.13,,,,,,,0.0,0.0,100.0,0.0,0.0,3.7,,
23,0.01,0.5,57.0,-18.0,47.22,66.27,-35.55,1.33,306.12,48.77,183.81,159.79,212.47,537.06,57.0,33.0,10.0,0.0,24.56,42.69,0.228,0.006
