exp_id,coherence,noise_std,Accuracy (%),Accuracy Left (%),Accuracy Right (%),Accuracy CI Low (%),Accuracy CI High (%),Accuracy Left CI Low (%),Accuracy Left CI High (%),Accuracy Right CI Low (%),Accuracy Right CI High (%),Mean Correct RT (ms),Mean Correct RT CI Margin (ms),Correct RT std (ms),Correct RT std CI Low (ms),Correct RT std CI High (ms),Inverse Efficiency,Correct Decision (%),Wrong Decision (%),No Decision (%),Premature (%),Wrong Decision CI Low (%),Wrong Decision CI High (%),Mean PD Variability,Mean PD Variability CI Margin
0,1.0,0.125,100.0,100.0,100.0,96.3,100.0,92.87,100.0,92.87,100.0,49.44,0.25,1.25,1.16,1.36,49.44,100.0,0.0,0.0,0.0,0.0,3.7,0.032,0.0
1,1.0,0.25,100.0,100.0,100.0,96.3,100.0,92.87,100.0,92.87,100.0,49.68,0.26,1.29,1.17,1.42,49.68,100.0,0.0,0.0,0.0,0.0,3.7,0.032,0.0
2,1.0,0.5,100.0,100.0,100.0,96.3,100.0,92.87,100.0,92.87,100.0,49.96,0.27,1.38,1.27,1.51,49.96,100.0,0.0,0.0,0.0,0.0,3.7,0.032,0.0
3,0.3,0.125,100.0,100.0,100.0,96.3,100.0,92.87,100.0,92.87,100.0,63.44,0.48,2.4,2.14,2.69,63.44,100.0,0.0,0.0,0.0,0.0,3.7,0.033,0.0
4,0.3,0.25,100.0,100.0,100.0,96.3,100.0,92.87,100.0,92.87,100.0,63.73,0.71,3.57,3.21,4.02,63.73,100.0,0.0,0.0,0.0,0.0,3.7,0.033,0.0
5,0.3,0.5,100.0,100.0,100.0,96.3,100.0,92.87,100.0,92.87,100.0,67.4,2.39,12.07,8.97,17.75,67.4,100.0,0.0,0.0,0.0,0.0,3.7,0.036,0.001
6,0.15,0.125,100.0,100.0,100.0,96.3,100.0,92.87,100.0,92.87,100.0,83.41,1.73,8.71,7.82,9.79,83.41,100.0,0.0,0.0,0.0,0.0,3.7,0.044,0.001
7,0.15,0.25,100.0,100.0,100.0,96.3,100.0,92.87,100.0,92.87,100.0,89.09,3.51,17.69,14.8,22.88,89.09,100.0,0.0,0.0,0.0,0.0,3.7,0.062,0.003
8,0.15,0.5,99.0,98.0,100.0,94.55,99.82,89.5,99.65,92.87,100.0,97.09,7.92,39.73,32.68,51.87,98.07,99.0,1.0,0.0,0.0,0.18,5.45,0.153,0.016
9,0.1,0.125,100.0,100.0,100.0,96.3,100.0,92.87,100.0,92.87,100.0,128.05,6.85,34.5,28.44,42.71,128.05,100.0,0.0,0.0,0.0,0.0,3.7,0.072,0.003
10,0.1,0.25,100.0,100.0,100.0,96.3,100.0,92.87,100.0,92.87,100.0,131.8,10.61,53.46,45.26,63.77,131.8,100.0,0.0,0.0,0.0,0.0,3.7,0.137,0.011
11,0.1,0.5,99.0,100.0,98.0,94.55,99.82,92.87,100.0,89.5,99.65,139.02,17.1,85.74,68.71,110.46,140.42,99.0,1.0,0.0,0.0,0.18,5.45,0.274,0.015
12,0.08,0.125,100.0,100.0,100.0,96.3,100.0,92.87,100.0,92.87,100.0,187.83,19.3,97.28,77.7,129.7,187.83,100.0,0.0,0.0,0.0,0.0,3.7,0.096,0.005
13,0.08,0.25,100.0,100.0,100.0,96.3,100.0,92.87,100.0,92.87,100.0,183.82,20.52,103.41,87.56,124.01,183.82,100.0,0.0,0.0,0.0,0.0,3.7,0.19,0.012
14,0.08,0.5,99.0,98.0,100.0,94.55,99.82,89.5,99.65,92.87,100.0,164.17,19.08,95.69,78.81,120.29,165.83,99.0,1.0,0.0,0.0,0.18,5.45,0.303,0.014
15,0.05,0.125,63.0,34.0,92.0,53.22,71.82,22.44,47.85,81.16,96.85,439.51,46.19,183.4,162.58,210.47,697.63,63.0,0.0,37.0,0.0,0.0,3.7,0.162,0.013
16,0.05,0.25,92.0,88.0,96.0,85.0,95.89,76.2,94.38,86.54,98.9,339.53,39.16,189.1,165.59,216.45,369.06,92.0,0.0,8.0,0.0,0.0,3.7,0.263,0.008
17,0.05,0.5,88.0,84.0,92.0,80.19,93.0,71.49,91.66,81.16,96.85,202.89,25.59,120.8,103.77,145.02,230.55,88.0,12.0,0.0,0.0,7.0,19.81,0.32,0.013
18,0.03,0.125,12.0,0.0,24.0,7.0,19.81,0.0,7.13,14.3,37.41,510.75,,240.22,,,4256.25,12.0,0.0,88.0,0.0,0.0,3.7,0.205,
19,0.03,0.25,64.0,48.0,80.0,54.24,72.73,34.8,61.49,66.96,88.76,409.33,47.99,192.13,168.5,220.54,639.58,64.0,0.0,36.0,0.0,0.0,3.7,0.265,0.008
20,0.03,0.5,85.0,82.0,88.0,76.72,90.69,69.2,90.23,76.2,94.38,266.64,37.42,173.47,149.61,203.36,313.69,85.0,13.0,2.0,0.0,7.76,20.98,0.309,0.011
21,0.01,0.125,0.0,0.0,0.0,0.0,3.7,0.0,7.13,0.0,7.13,,,,,,,0.0,0.0,100.0,0.0,0.0,3.7,,
22,0.01,0.25,22.0,10.0,34.0,15.0,31.07,4.35,21.36,22.44,47.85,501.32,,262.1,,,2278.72,22.0,2.0,76.0,0.0,0.55,7.0,0.223,
23,0.01,0.5,57.0,52.0,62.0,47.22,66.27,38.51,65.2,48.15,74.14,264.19,48.28,181.94,146.62,229.38,463.5,57.0,40.0,3.0,0.0,30.94,49.8,0.282,0.014
