exp_id,coherence,strength,Accuracy (%),Accuracy Difference (%),Accuracy CI Low (%),Accuracy CI High (%),Accuracy Diff CI Low (%),Accuracy Diff CI High (%),Mean Correct RT (ms),Mean Correct RT CI Margin (ms),Correct RT std (ms),Correct RT std CI Low (ms),Correct RT std CI High (ms),Inverse Efficiency,Correct Decision (%),Wrong Decision (%),No Decision (%),Premature (%),Wrong Decision CI Low (%),Wrong Decision CI High (%),Mean PD Variability,Mean PD Variability CI Margin
0,1.0,0.8,100.0,0.0,96.3,100.0,-7.13,7.13,51.61,0.17,0.84,0.75,0.95,51.61,100.0,0.0,0.0,0.0,0.0,3.7,0.032,0.0
1,1.0,0.6,100.0,0.0,96.3,100.0,-7.13,7.13,55.45,0.22,1.13,0.99,1.3,55.45,100.0,0.0,0.0,0.0,0.0,3.7,0.033,0.0
2,1.0,0.4,100.0,0.0,96.3,100.0,-7.13,7.13,64.89,0.74,3.72,3.57,3.92,64.89,100.0,0.0,0.0,0.0,0.0,3.7,0.039,0.001
3,0.3,0.8,100.0,0.0,96.3,100.0,-7.13,7.13,67.37,0.59,2.95,2.62,3.35,67.37,100.0,0.0,0.0,0.0,0.0,3.7,0.035,0.0
4,0.3,0.6,100.0,0.0,96.3,100.0,-7.13,7.13,77.33,0.92,4.65,4.26,5.15,77.33,100.0,0.0,0.0,0.0,0.0,3.7,0.04,0.001
5,0.3,0.4,100.0,0.0,96.3,100.0,-7.13,7.13,146.15,9.04,45.57,35.05,61.41,146.15,100.0,0.0,0.0,0.0,0.0,3.7,0.045,0.001
6,0.15,0.8,100.0,0.0,96.3,100.0,-7.13,7.13,89.7,2.18,11.0,9.67,12.51,89.7,100.0,0.0,0.0,0.0,0.0,3.7,0.044,0.001
7,0.15,0.6,100.0,0.0,96.3,100.0,-7.13,7.13,122.27,4.79,24.12,20.68,29.2,122.27,100.0,0.0,0.0,0.0,0.0,3.7,0.049,0.002
8,0.15,0.4,58.0,-28.0,48.21,67.2,-44.6,-8.65,462.66,56.98,216.72,194.44,242.46,797.68,58.0,0.0,42.0,0.0,0.0,3.7,0.093,0.009
9,0.1,0.8,100.0,0.0,96.3,100.0,-7.13,7.13,131.32,6.45,32.52,26.96,40.4,131.32,100.0,0.0,0.0,0.0,0.0,3.7,0.067,0.003
10,0.1,0.6,100.0,0.0,96.3,100.0,-7.13,7.13,205.12,17.76,89.5,74.65,111.3,205.12,100.0,0.0,0.0,0.0,0.0,3.7,0.096,0.008
11,0.1,0.4,6.0,-12.0,2.78,12.48,-23.8,-2.43,575.17,,145.21,,,9586.11,6.0,0.0,94.0,0.0,0.0,3.7,0.156,
12,0.08,0.8,100.0,0.0,96.3,100.0,-7.13,7.13,173.74,16.1,81.12,63.18,109.56,173.74,100.0,0.0,0.0,0.0,0.0,3.7,0.093,0.006
13,0.08,0.6,95.0,-10.0,88.82,97.85,-21.36,-0.9,334.82,33.78,165.8,141.65,199.71,352.44,95.0,0.0,5.0,0.0,0.0,3.7,0.146,0.012
14,0.08,0.4,1.0,-2.0,0.18,5.45,-10.5,5.32,651.0,,,,,65100.0,1.0,0.0,99.0,0.0,0.0,3.7,0.146,
15,0.05,0.8,87.0,-18.0,79.02,92.24,-31.55,-4.77,364.44,33.57,157.51,138.32,181.58,418.89,87.0,0.0,13.0,0.0,0.0,3.7,0.171,0.014
16,0.05,0.6,44.0,-20.0,34.67,53.77,-37.42,-0.59,485.43,59.83,196.79,174.71,225.07,1103.25,44.0,0.0,56.0,0.0,0.0,3.7,0.202,0.012
17,0.05,0.4,0.0,0.0,0.0,3.7,-7.13,7.13,,,,,,,0.0,0.0,100.0,0.0,0.0,3.7,,
18,0.03,0.8,35.0,-58.0,26.36,44.75,-70.5,-40.78,505.57,67.08,195.27,167.64,228.89,1444.49,35.0,0.0,65.0,0.0,0.0,3.7,0.216,0.012
19,0.03,0.6,7.0,-6.0,3.43,13.75,-17.72,5.02,538.14,,177.69,,,7687.76,7.0,0.0,93.0,0.0,0.0,3.7,0.211,
20,0.03,0.4,0.0,0.0,0.0,3.7,-7.13,7.13,,,,,,,0.0,0.0,100.0,0.0,0.0,3.7,,
21,0.01,0.8,5.0,-10.0,2.15,11.18,-21.36,-0.9,445.4,,242.71,,,8908.0,5.0,0.0,95.0,0.0,0.0,3.7,0.201,
22,0.01,0.6,0.0,0.0,0.0,3.7,-7.13,7.13,,,,,,,0.0,0.0,100.0,0.0,0.0,3.7,,
23,0.01,0.4,0.0,0.0,0.0,3.7,-7.13,7.13,,,,,,,0.0,0.0,100.0,0.0,0.0,3.7,,
