exp_id,coherence,strength,Accuracy (%),Accuracy Difference (%),Accuracy CI Low (%),Accuracy CI High (%),Accuracy Diff CI Low (%),Accuracy Diff CI High (%),Mean Correct RT (ms),Mean Correct RT CI Margin (ms),Correct RT std (ms),Correct RT std CI Low (ms),Correct RT std CI High (ms),Inverse Efficiency,Correct Decision (%),Wrong Decision (%),No Decision (%),Premature (%),Wrong Decision CI Low (%),Wrong Decision CI High (%),Mean PD Variability,Mean PD Variability CI Margin
0,1.0,0.6,100.0,0.0,96.3,100.0,-7.13,7.13,35.95,0.22,1.13,1.07,1.22,35.95,100.0,0.0,0.0,0.0,0.0,3.7,0.032,0.0
1,1.0,0.4,100.0,0.0,96.3,100.0,-7.13,7.13,38.85,0.49,2.46,2.04,3.03,38.85,100.0,0.0,0.0,0.0,0.0,3.7,0.042,0.001
2,0.9,0.6,100.0,0.0,96.3,100.0,-7.13,7.13,36.25,0.22,1.1,1.02,1.23,36.25,100.0,0.0,0.0,0.0,0.0,3.7,0.032,0.0
3,0.9,0.4,100.0,0.0,96.3,100.0,-7.13,7.13,42.37,0.85,4.28,3.74,4.91,42.37,100.0,0.0,0.0,0.0,0.0,3.7,0.043,0.001
4,0.8,0.6,100.0,0.0,96.3,100.0,-7.13,7.13,36.64,0.28,1.41,1.3,1.54,36.64,100.0,0.0,0.0,0.0,0.0,3.7,0.033,0.0
5,0.8,0.4,100.0,0.0,96.3,100.0,-7.13,7.13,48.06,1.4,7.03,5.72,9.31,48.06,100.0,0.0,0.0,0.0,0.0,3.7,0.05,0.001
6,0.7,0.6,100.0,0.0,96.3,100.0,-7.13,7.13,37.91,0.31,1.56,1.37,1.81,37.91,100.0,0.0,0.0,0.0,0.0,3.7,0.037,0.0
7,0.7,0.4,100.0,0.0,96.3,100.0,-7.13,7.13,55.9,1.93,9.75,8.28,11.67,55.9,100.0,0.0,0.0,0.0,0.0,3.7,0.061,0.002
8,0.6,0.6,100.0,0.0,96.3,100.0,-7.13,7.13,41.83,0.63,3.16,2.82,3.6,41.83,100.0,0.0,0.0,0.0,0.0,3.7,0.048,0.002
9,0.6,0.4,100.0,0.0,96.3,100.0,-7.13,7.13,89.38,7.2,36.27,29.97,44.05,89.38,100.0,0.0,0.0,0.0,0.0,3.7,0.068,0.002
10,0.5,0.6,100.0,0.0,96.3,100.0,-7.13,7.13,49.21,1.27,6.42,5.15,8.8,49.21,100.0,0.0,0.0,0.0,0.0,3.7,0.055,0.001
11,0.5,0.4,90.0,-4.0,82.56,94.48,-16.76,8.58,337.8,45.92,219.27,195.62,245.08,375.33,90.0,0.0,10.0,0.0,0.0,3.7,0.093,0.003
12,0.4,0.6,100.0,0.0,96.3,100.0,-7.13,7.13,73.08,4.07,20.53,17.47,25.13,73.08,100.0,0.0,0.0,0.0,0.0,3.7,0.065,0.002
13,0.4,0.4,4.0,4.0,1.57,9.84,-5.36,14.35,505.5,,192.95,,,12637.5,4.0,0.0,96.0,0.0,0.0,3.7,0.144,
14,0.3,0.6,85.0,-22.0,76.72,90.69,-35.86,-8.14,312.13,41.1,190.56,166.14,221.91,367.21,85.0,0.0,15.0,0.0,0.0,3.7,0.095,0.003
15,0.3,0.4,0.0,0.0,0.0,3.7,-7.13,7.13,,,,,,,0.0,0.0,100.0,0.0,0.0,3.7,,
