exp_id,coherence,noise_std,Accuracy (%),Accuracy Difference (%),Accuracy CI Low (%),Accuracy CI High (%),Accuracy Diff CI Low (%),Accuracy Diff CI High (%),Mean Correct RT (ms),Mean Correct RT CI Margin (ms),Correct RT std (ms),Correct RT std CI Low (ms),Correct RT std CI High (ms),Inverse Efficiency,Correct Decision (%),Wrong Decision (%),No Decision (%),Premature (%),Wrong Decision CI Low (%),Wrong Decision CI High (%),Mean PD Variability,Mean PD Variability CI Margin
0,1.0,0.125,100.0,0.0,96.3,100.0,-7.13,7.13,44.0,0.4,2.02,1.92,2.15,44.0,100.0,0.0,0.0,0.0,0.0,3.7,0.033,0.0
1,1.0,0.25,100.0,0.0,96.3,100.0,-7.13,7.13,44.11,0.4,1.99,1.87,2.14,44.11,100.0,0.0,0.0,0.0,0.0,3.7,0.033,0.0
2,1.0,0.5,100.0,0.0,96.3,100.0,-7.13,7.13,44.46,0.37,1.87,1.7,2.05,44.46,100.0,0.0,0.0,0.0,0.0,3.7,0.033,0.0
3,0.3,0.125,100.0,0.0,96.3,100.0,-7.13,7.13,52.27,0.21,1.03,0.91,1.18,52.27,100.0,0.0,0.0,0.0,0.0,3.7,0.033,0.0
4,0.3,0.25,100.0,0.0,96.3,100.0,-7.13,7.13,52.3,0.29,1.45,1.29,1.65,52.3,100.0,0.0,0.0,0.0,0.0,3.7,0.033,0.0
5,0.3,0.5,100.0,0.0,96.3,100.0,-7.13,7.13,53.05,0.67,3.36,2.87,4.02,53.05,100.0,0.0,0.0,0.0,0.0,3.7,0.033,0.0
6,0.15,0.125,100.0,0.0,96.3,100.0,-7.13,7.13,56.75,0.32,1.63,1.44,1.9,56.75,100.0,0.0,0.0,0.0,0.0,3.7,0.033,0.0
7,0.15,0.25,100.0,0.0,96.3,100.0,-7.13,7.13,57.93,0.68,3.41,3.01,3.91,57.93,100.0,0.0,0.0,0.0,0.0,3.7,0.033,0.0
8,0.15,0.5,98.0,4.0,93.0,99.45,-3.7,13.46,60.27,2.44,12.15,8.17,18.41,61.5,98.0,2.0,0.0,0.0,0.55,7.0,0.043,0.008
9,0.1,0.125,100.0,0.0,96.3,100.0,-7.13,7.13,60.9,0.42,2.13,1.9,2.47,60.9,100.0,0.0,0.0,0.0,0.0,3.7,0.033,0.0
10,0.1,0.25,97.0,-2.0,91.55,98.97,-11.6,6.98,61.16,1.38,6.83,4.84,10.02,63.06,97.0,3.0,0.0,0.0,1.03,8.45,0.037,0.005
11,0.1,0.5,88.0,-4.0,80.19,93.0,-17.43,9.37,64.84,3.7,17.44,12.17,28.93,73.68,88.0,12.0,0.0,0.0,7.0,19.81,0.121,0.022
12,0.08,0.125,100.0,0.0,96.3,100.0,-7.13,7.13,62.39,0.72,3.61,2.63,6.05,62.39,100.0,0.0,0.0,0.0,0.0,3.7,0.034,0.0
13,0.08,0.25,98.0,-4.0,93.0,99.45,-13.46,3.7,64.5,2.05,10.23,7.15,16.94,65.82,98.0,2.0,0.0,0.0,0.55,7.0,0.043,0.007
14,0.08,0.5,83.0,-14.0,74.45,89.11,-28.56,0.94,66.04,3.07,14.04,11.03,18.16,79.56,83.0,17.0,0.0,0.0,10.89,25.55,0.173,0.024
15,0.05,0.125,98.0,-4.0,93.0,99.45,-13.46,3.7,67.28,1.27,6.35,4.79,8.76,68.65,98.0,2.0,0.0,0.0,0.55,7.0,0.044,0.005
16,0.05,0.25,90.0,4.0,82.56,94.48,-8.58,16.76,67.08,2.73,13.02,8.35,22.29,74.53,90.0,10.0,0.0,0.0,5.52,17.44,0.085,0.014
17,0.05,0.5,73.0,-2.0,63.57,80.73,-19.01,15.16,66.75,3.34,14.33,11.25,18.36,91.44,73.0,27.0,0.0,0.0,19.27,36.43,0.298,0.024
18,0.03,0.125,95.0,2.0,88.82,97.85,-8.25,12.62,75.52,3.54,17.39,12.11,25.19,79.49,95.0,5.0,0.0,0.0,2.15,11.18,0.074,0.009
19,0.03,0.25,71.0,2.0,61.46,78.99,-15.48,19.32,70.72,2.75,11.6,9.22,14.61,99.6,71.0,29.0,0.0,0.0,21.01,38.54,0.215,0.022
20,0.03,0.5,54.0,-8.0,44.26,63.44,-26.38,11.18,66.96,3.55,12.99,10.11,16.57,124.01,54.0,46.0,0.0,0.0,36.56,55.74,0.356,0.017
21,0.01,0.125,67.0,-14.0,57.31,75.44,-31.13,4.36,84.18,5.67,23.23,18.09,31.43,125.64,67.0,33.0,0.0,0.0,24.56,42.69,0.273,0.022
22,0.01,0.25,63.0,-18.0,53.22,71.82,-35.2,0.88,79.0,5.69,22.59,17.58,31.96,125.4,63.0,37.0,0.0,0.0,28.18,46.78,0.356,0.016
23,0.01,0.5,51.0,-22.0,41.35,60.58,-39.35,-2.44,67.82,4.62,16.43,11.15,25.63,132.99,51.0,49.0,0.0,0.0,39.42,58.65,0.398,0.011
