exp_id,coherence,noise_std,Accuracy (%),Accuracy Difference (%),Accuracy CI Low (%),Accuracy CI High (%),Accuracy Diff CI Low (%),Accuracy Diff CI High (%),Mean Correct RT (ms),Mean Correct RT CI Margin (ms),Correct RT std (ms),Correct RT std CI Low (ms),Correct RT std CI High (ms),Inverse Efficiency,Correct Decision (%),Wrong Decision (%),No Decision (%),Premature (%),Wrong Decision CI Low (%),Wrong Decision CI High (%),Mean PD Variability,Mean PD Variability CI Margin
0,1.0,0.125,100.0,0.0,96.3,100.0,-7.13,7.13,57.5,0.3,1.51,1.36,1.69,57.5,100.0,0.0,0.0,0.0,0.0,3.7,0.033,0.0
1,1.0,0.25,100.0,0.0,96.3,100.0,-7.13,7.13,57.43,0.33,1.64,1.49,1.81,57.43,100.0,0.0,0.0,0.0,0.0,3.7,0.034,0.0
2,1.0,0.5,100.0,0.0,96.3,100.0,-7.13,7.13,57.5,0.38,1.9,1.7,2.13,57.5,100.0,0.0,0.0,0.0,0.0,3.7,0.038,0.001
3,0.3,0.125,100.0,0.0,96.3,100.0,-7.13,7.13,74.72,0.75,3.78,3.44,4.22,74.72,100.0,0.0,0.0,0.0,0.0,3.7,0.036,0.0
4,0.3,0.25,100.0,0.0,96.3,100.0,-7.13,7.13,75.25,0.96,4.81,4.26,5.91,75.25,100.0,0.0,0.0,0.0,0.0,3.7,0.038,0.0
5,0.3,0.5,100.0,0.0,96.3,100.0,-7.13,7.13,80.14,2.9,14.62,11.43,21.0,80.14,100.0,0.0,0.0,0.0,0.0,3.7,0.046,0.001
6,0.15,0.125,100.0,0.0,96.3,100.0,-7.13,7.13,109.13,2.76,13.93,12.17,17.08,109.13,100.0,0.0,0.0,0.0,0.0,3.7,0.036,0.001
7,0.15,0.25,100.0,0.0,96.3,100.0,-7.13,7.13,116.47,5.14,25.9,21.96,32.02,116.47,100.0,0.0,0.0,0.0,0.0,3.7,0.053,0.005
8,0.15,0.5,100.0,0.0,96.3,100.0,-7.13,7.13,128.76,11.8,59.45,49.01,73.3,128.76,100.0,0.0,0.0,0.0,0.0,3.7,0.164,0.017
9,0.1,0.125,100.0,0.0,96.3,100.0,-7.13,7.13,202.59,12.58,63.38,54.63,76.34,202.59,100.0,0.0,0.0,0.0,0.0,3.7,0.086,0.006
10,0.1,0.25,100.0,0.0,96.3,100.0,-7.13,7.13,191.58,16.91,85.23,73.73,99.42,191.58,100.0,0.0,0.0,0.0,0.0,3.7,0.175,0.014
11,0.1,0.5,99.0,2.0,94.55,99.82,-5.32,10.5,193.29,22.36,112.13,95.86,130.77,195.25,99.0,1.0,0.0,0.0,0.18,5.45,0.29,0.014
12,0.08,0.125,95.0,-2.0,88.82,97.85,-12.62,8.25,322.08,29.11,142.89,121.14,176.11,339.04,95.0,0.0,5.0,0.0,0.0,3.7,0.162,0.01
13,0.08,0.25,98.0,-4.0,93.0,99.45,-13.46,3.7,278.47,28.72,143.25,124.61,166.12,284.15,98.0,0.0,2.0,0.0,0.0,3.7,0.25,0.012
14,0.08,0.5,100.0,0.0,96.3,100.0,-7.13,7.13,225.84,25.58,128.92,106.9,165.03,225.84,100.0,0.0,0.0,0.0,0.0,3.7,0.317,0.011
15,0.05,0.125,7.0,-6.0,3.43,13.75,-17.72,5.02,641.43,,124.19,,,9163.27,7.0,0.0,93.0,0.0,0.0,3.7,0.198,
16,0.05,0.25,64.0,-4.0,54.24,72.73,-22.04,14.41,430.52,50.35,201.58,179.51,228.17,672.68,64.0,0.0,36.0,0.0,0.0,3.7,0.276,0.009
17,0.05,0.5,88.0,-8.0,80.19,93.0,-21.42,5.27,325.24,42.23,199.32,173.71,230.92,369.59,88.0,4.0,8.0,0.0,1.57,9.84,0.309,0.013
18,0.03,0.125,0.0,0.0,0.0,3.7,-7.13,7.13,,,,,,,0.0,0.0,100.0,0.0,0.0,3.7,,
19,0.03,0.25,26.0,-8.0,18.4,35.37,-24.57,9.15,523.62,,189.31,,,2013.91,26.0,0.0,74.0,0.0,0.0,3.7,0.193,
20,0.03,0.5,72.0,8.0,62.51,79.86,-9.5,24.88,354.75,47.17,200.75,176.54,228.25,492.71,72.0,7.0,21.0,0.0,3.43,13.75,0.276,0.016
21,0.01,0.125,0.0,0.0,0.0,3.7,-7.13,7.13,,,,,,,0.0,0.0,100.0,0.0,0.0,3.7,,
22,0.01,0.25,2.0,4.0,0.55,7.0,-3.7,13.46,746.0,,,,,37300.0,2.0,0.0,98.0,0.0,0.0,3.7,0.155,
23,0.01,0.5,46.0,-4.0,36.56,55.74,-22.62,15.02,368.02,57.48,193.56,166.12,227.16,800.05,46.0,21.0,33.0,0.0,14.17,29.98,0.245,0.016
