exp_id,coherence,strength,Accuracy (%),Accuracy Difference (%),Accuracy CI Low (%),Accuracy CI High (%),Accuracy Diff CI Low (%),Accuracy Diff CI High (%),Mean Correct RT (ms),Mean Correct RT CI Margin (ms),Correct RT std (ms),Correct RT std CI Low (ms),Correct RT std CI High (ms),Inverse Efficiency,Correct Decision (%),Wrong Decision (%),No Decision (%),Premature (%),Wrong Decision CI Low (%),Wrong Decision CI High (%),Mean PD Variability,Mean PD Variability CI Margin
0,1.0,0.8,100.0,0.0,96.3,100.0,-7.13,7.13,44.89,0.24,1.19,1.06,1.36,44.89,100.0,0.0,0.0,0.0,0.0,3.7,0.033,0.0
1,1.0,0.6,100.0,0.0,96.3,100.0,-7.13,7.13,48.05,0.23,1.14,1.04,1.26,48.05,100.0,0.0,0.0,0.0,0.0,3.7,0.033,0.0
2,1.0,0.4,100.0,0.0,96.3,100.0,-7.13,7.13,51.16,0.22,1.11,0.91,1.39,51.16,100.0,0.0,0.0,0.0,0.0,3.7,0.033,0.0
3,0.3,0.8,100.0,0.0,96.3,100.0,-7.13,7.13,54.17,0.26,1.32,1.18,1.49,54.17,100.0,0.0,0.0,0.0,0.0,3.7,0.033,0.0
4,0.3,0.6,100.0,0.0,96.3,100.0,-7.13,7.13,56.33,0.28,1.41,1.26,1.6,56.33,100.0,0.0,0.0,0.0,0.0,3.7,0.033,0.0
5,0.3,0.4,100.0,0.0,96.3,100.0,-7.13,7.13,66.78,1.03,5.2,4.41,7.14,66.78,100.0,0.0,0.0,0.0,0.0,3.7,0.037,0.001
6,0.15,0.8,100.0,0.0,96.3,100.0,-7.13,7.13,59.62,0.48,2.4,2.17,2.66,59.62,100.0,0.0,0.0,0.0,0.0,3.7,0.033,0.0
7,0.15,0.6,100.0,0.0,96.3,100.0,-7.13,7.13,66.49,0.83,4.19,3.68,4.92,66.49,100.0,0.0,0.0,0.0,0.0,3.7,0.036,0.001
8,0.15,0.4,100.0,0.0,96.3,100.0,-7.13,7.13,89.07,4.31,21.73,17.72,29.38,89.07,100.0,0.0,0.0,0.0,0.0,3.7,0.062,0.004
9,0.1,0.8,100.0,0.0,96.3,100.0,-7.13,7.13,65.66,0.88,4.43,3.66,6.34,65.66,100.0,0.0,0.0,0.0,0.0,3.7,0.036,0.001
10,0.1,0.6,100.0,0.0,96.3,100.0,-7.13,7.13,75.42,3.31,16.69,11.24,26.64,75.42,100.0,0.0,0.0,0.0,0.0,3.7,0.047,0.002
11,0.1,0.4,100.0,0.0,96.3,100.0,-7.13,7.13,122.44,13.11,66.06,44.12,113.86,122.44,100.0,0.0,0.0,0.0,0.0,3.7,0.113,0.011
12,0.08,0.8,100.0,0.0,96.3,100.0,-7.13,7.13,68.03,1.64,8.24,4.85,16.2,68.03,100.0,0.0,0.0,0.0,0.0,3.7,0.038,0.001
13,0.08,0.6,100.0,0.0,96.3,100.0,-7.13,7.13,87.2,5.79,29.19,21.1,43.84,87.2,100.0,0.0,0.0,0.0,0.0,3.7,0.061,0.004
14,0.08,0.4,100.0,0.0,96.3,100.0,-7.13,7.13,150.57,14.68,73.96,60.15,98.18,150.57,100.0,0.0,0.0,0.0,0.0,3.7,0.139,0.012
15,0.05,0.8,100.0,0.0,96.3,100.0,-7.13,7.13,81.16,4.02,20.27,15.62,27.14,81.16,100.0,0.0,0.0,0.0,0.0,3.7,0.064,0.005
16,0.05,0.6,100.0,0.0,96.3,100.0,-7.13,7.13,120.94,13.3,67.03,52.64,92.46,120.94,100.0,0.0,0.0,0.0,0.0,3.7,0.125,0.014
17,0.05,0.4,97.0,6.0,91.55,98.97,-2.15,16.22,253.14,37.66,186.88,154.26,225.17,260.97,97.0,1.0,2.0,0.0,0.18,5.45,0.206,0.013
18,0.03,0.8,97.0,2.0,91.55,98.97,-6.98,11.6,101.12,9.49,47.1,33.15,80.92,104.25,97.0,3.0,0.0,0.0,1.03,8.45,0.137,0.015
19,0.03,0.6,96.0,8.0,90.16,98.43,-0.62,18.84,170.79,23.67,116.83,92.4,154.38,177.91,96.0,4.0,0.0,0.0,1.57,9.84,0.198,0.017
20,0.03,0.4,77.0,34.0,67.85,84.16,17.94,48.37,281.73,42.27,186.22,154.62,222.64,365.88,77.0,10.0,13.0,0.0,5.52,17.44,0.217,0.011
21,0.01,0.8,68.0,12.0,58.34,76.33,-6.19,29.16,129.59,15.12,62.47,48.69,80.28,190.57,68.0,32.0,0.0,0.0,23.67,41.66,0.283,0.015
22,0.01,0.6,73.0,34.0,63.57,80.73,16.86,48.81,222.52,37.22,159.54,122.9,214.04,304.82,73.0,26.0,1.0,0.0,18.4,35.37,0.251,0.014
23,0.01,0.4,63.0,50.0,53.22,71.82,31.8,63.71,353.79,50.22,199.4,170.62,236.09,561.58,63.0,23.0,14.0,0.0,15.84,32.15,0.247,0.008
