exp_id,coherence,strength,Accuracy (%),Accuracy Difference (%),Accuracy CI Low (%),Accuracy CI High (%),Accuracy Diff CI Low (%),Accuracy Diff CI High (%),Mean Correct RT (ms),Mean Correct RT CI Margin (ms),Correct RT std (ms),Correct RT std CI Low (ms),Correct RT std CI High (ms),Inverse Efficiency,Correct Decision (%),Wrong Decision (%),No Decision (%),Premature (%),Wrong Decision CI Low (%),Wrong Decision CI High (%),Mean PD Variability,Mean PD Variability CI Margin
0,1.0,0.8,100.0,0.0,96.3,100.0,-7.13,7.13,60.76,0.42,2.12,1.89,2.39,60.76,100.0,0.0,0.0,0.0,0.0,3.7,0.034,0.0
1,1.0,0.6,100.0,0.0,96.3,100.0,-7.13,7.13,67.65,0.52,2.62,2.43,2.83,67.65,100.0,0.0,0.0,0.0,0.0,3.7,0.036,0.001
2,1.0,0.4,100.0,0.0,96.3,100.0,-7.13,7.13,90.24,3.19,16.06,14.17,17.91,90.24,100.0,0.0,0.0,0.0,0.0,3.7,0.041,0.001
3,0.3,0.8,100.0,0.0,96.3,100.0,-7.13,7.13,83.33,0.9,4.53,3.93,5.41,83.33,100.0,0.0,0.0,0.0,0.0,3.7,0.034,0.0
4,0.3,0.6,100.0,0.0,96.3,100.0,-7.13,7.13,111.63,3.31,16.67,13.82,21.01,111.63,100.0,0.0,0.0,0.0,0.0,3.7,0.042,0.001
5,0.3,0.4,0.0,0.0,0.0,3.7,-7.13,7.13,,,,,,,0.0,0.0,100.0,0.0,0.0,3.7,,
6,0.15,0.8,100.0,0.0,96.3,100.0,-7.13,7.13,135.8,4.95,24.95,21.19,30.72,135.8,100.0,0.0,0.0,0.0,0.0,3.7,0.046,0.002
7,0.15,0.6,82.0,-28.0,73.33,88.3,-42.11,-13.31,377.4,40.63,184.92,161.18,209.49,460.25,82.0,0.0,18.0,0.0,0.0,3.7,0.102,0.008
8,0.15,0.4,0.0,0.0,0.0,3.7,-7.13,7.13,,,,,,,0.0,0.0,100.0,0.0,0.0,3.7,,
9,0.1,0.8,98.0,-4.0,93.0,99.45,-13.46,3.7,318.29,29.43,146.79,125.96,174.54,324.78,98.0,0.0,2.0,0.0,0.0,3.7,0.12,0.009
10,0.1,0.6,7.0,-14.0,3.43,13.75,-26.19,-3.97,543.29,,204.33,,,7761.22,7.0,0.0,93.0,0.0,0.0,3.7,0.222,
11,0.1,0.4,0.0,0.0,0.0,3.7,-7.13,7.13,,,,,,,0.0,0.0,100.0,0.0,0.0,3.7,,
12,0.08,0.8,63.0,-6.0,53.22,71.82,-24.02,12.58,419.24,43.77,173.79,150.88,204.32,665.46,63.0,0.0,37.0,0.0,0.0,3.7,0.195,0.011
13,0.08,0.6,0.0,0.0,0.0,3.7,-7.13,7.13,,,,,,,0.0,0.0,100.0,0.0,0.0,3.7,,
14,0.08,0.4,0.0,0.0,0.0,3.7,-7.13,7.13,,,,,,,0.0,0.0,100.0,0.0,0.0,3.7,,
15,0.05,0.8,2.0,0.0,0.55,7.0,-8.65,8.65,756.0,,,,,37800.0,2.0,0.0,98.0,0.0,0.0,3.7,0.153,
16,0.05,0.6,0.0,0.0,0.0,3.7,-7.13,7.13,,,,,,,0.0,0.0,100.0,0.0,0.0,3.7,,
17,0.05,0.4,0.0,0.0,0.0,3.7,-7.13,7.13,,,,,,,0.0,0.0,100.0,0.0,0.0,3.7,,
18,0.03,0.8,0.0,0.0,0.0,3.7,-7.13,7.13,,,,,,,0.0,0.0,100.0,0.0,0.0,3.7,,
19,0.03,0.6,0.0,0.0,0.0,3.7,-7.13,7.13,,,,,,,0.0,0.0,100.0,0.0,0.0,3.7,,
20,0.03,0.4,0.0,0.0,0.0,3.7,-7.13,7.13,,,,,,,0.0,0.0,100.0,0.0,0.0,3.7,,
21,0.01,0.8,0.0,0.0,0.0,3.7,-7.13,7.13,,,,,,,0.0,0.0,100.0,0.0,0.0,3.7,,
22,0.01,0.6,0.0,0.0,0.0,3.7,-7.13,7.13,,,,,,,0.0,0.0,100.0,0.0,0.0,3.7,,
23,0.01,0.4,0.0,0.0,0.0,3.7,-7.13,7.13,,,,,,,0.0,0.0,100.0,0.0,0.0,3.7,,
