exp_id,coherence,noise_std,Accuracy (%),Accuracy Difference (%),Accuracy CI Low (%),Accuracy CI High (%),Accuracy Diff CI Low (%),Accuracy Diff CI High (%),Mean Correct RT (ms),Mean Correct RT CI Margin (ms),Correct RT std (ms),Correct RT std CI Low (ms),Correct RT std CI High (ms),Inverse Efficiency,Correct Decision (%),Wrong Decision (%),No Decision (%),Premature (%),Wrong Decision CI Low (%),Wrong Decision CI High (%),Mean PD Variability,Mean PD Variability CI Margin
0,1.0,0.125,100.0,0.0,96.3,100.0,-7.13,7.13,50.28,0.16,0.83,0.74,0.94,50.28,100.0,0.0,0.0,0.0,0.0,3.7,0.032,0.0
1,1.0,0.25,100.0,0.0,96.3,100.0,-7.13,7.13,50.04,0.25,1.26,1.07,1.5,50.04,100.0,0.0,0.0,0.0,0.0,3.7,0.032,0.0
2,1.0,0.5,100.0,0.0,96.3,100.0,-7.13,7.13,50.31,0.26,1.33,1.15,1.56,50.31,100.0,0.0,0.0,0.0,0.0,3.7,0.032,0.0
3,0.3,0.125,100.0,0.0,96.3,100.0,-7.13,7.13,61.7,0.47,2.37,2.12,2.67,61.7,100.0,0.0,0.0,0.0,0.0,3.7,0.032,0.0
4,0.3,0.25,100.0,0.0,96.3,100.0,-7.13,7.13,61.85,0.71,3.58,3.26,4.03,61.85,100.0,0.0,0.0,0.0,0.0,3.7,0.032,0.0
5,0.3,0.5,100.0,0.0,96.3,100.0,-7.13,7.13,64.61,2.12,10.66,7.66,16.9,64.61,100.0,0.0,0.0,0.0,0.0,3.7,0.033,0.0
6,0.15,0.125,100.0,0.0,96.3,100.0,-7.13,7.13,76.3,1.02,5.13,4.52,5.95,76.3,100.0,0.0,0.0,0.0,0.0,3.7,0.036,0.001
7,0.15,0.25,100.0,0.0,96.3,100.0,-7.13,7.13,79.95,2.16,10.86,9.32,13.68,79.95,100.0,0.0,0.0,0.0,0.0,3.7,0.038,0.001
8,0.15,0.5,99.0,-2.0,94.55,99.82,-10.5,5.32,87.67,6.42,32.17,25.44,48.74,88.55,99.0,1.0,0.0,0.0,0.18,5.45,0.087,0.012
9,0.1,0.125,100.0,0.0,96.3,100.0,-7.13,7.13,100.36,3.51,17.69,12.64,28.53,100.36,100.0,0.0,0.0,0.0,0.0,3.7,0.051,0.002
10,0.1,0.25,100.0,0.0,96.3,100.0,-7.13,7.13,105.26,7.03,35.45,28.83,45.33,105.26,100.0,0.0,0.0,0.0,0.0,3.7,0.078,0.007
11,0.1,0.5,97.0,6.0,91.55,98.97,-2.15,16.22,115.36,12.9,64.01,47.12,93.8,118.93,97.0,3.0,0.0,0.0,1.03,8.45,0.207,0.021
12,0.08,0.125,100.0,0.0,96.3,100.0,-7.13,7.13,117.18,5.57,28.09,22.0,42.37,117.18,100.0,0.0,0.0,0.0,0.0,3.7,0.072,0.003
13,0.08,0.25,100.0,0.0,96.3,100.0,-7.13,7.13,134.0,12.56,63.28,50.6,83.1,134.0,100.0,0.0,0.0,0.0,0.0,3.7,0.126,0.011
14,0.08,0.5,98.0,0.0,93.0,99.45,-8.65,8.65,140.13,15.05,75.07,61.56,98.67,142.99,98.0,2.0,0.0,0.0,0.55,7.0,0.266,0.021
15,0.05,0.125,99.0,2.0,94.55,99.82,-5.32,10.5,249.14,22.27,111.64,96.42,133.34,251.66,99.0,0.0,1.0,0.0,0.0,3.7,0.138,0.011
16,0.05,0.25,99.0,2.0,94.55,99.82,-5.32,10.5,223.0,24.49,122.77,103.51,152.27,225.25,99.0,0.0,1.0,0.0,0.0,3.7,0.255,0.014
17,0.05,0.5,90.0,0.0,82.56,94.48,-12.69,12.69,167.58,21.4,102.19,84.24,133.47,186.2,90.0,10.0,0.0,0.0,5.52,17.44,0.337,0.014
18,0.03,0.125,63.0,-6.0,53.22,71.82,-24.02,12.58,448.16,51.62,204.96,182.82,231.52,711.36,63.0,0.0,37.0,0.0,0.0,3.7,0.24,0.008
19,0.03,0.25,93.0,2.0,86.25,96.57,-9.31,13.53,334.85,37.17,180.49,161.64,203.12,360.05,93.0,0.0,7.0,0.0,0.0,3.7,0.311,0.009
20,0.03,0.5,79.0,18.0,70.02,85.83,1.93,33.16,195.54,31.41,140.23,112.03,185.26,247.52,79.0,21.0,0.0,0.0,14.17,29.98,0.334,0.015
21,0.01,0.125,0.0,0.0,0.0,3.7,-7.13,7.13,,,,,,,0.0,0.0,100.0,0.0,0.0,3.7,,
22,0.01,0.25,57.0,-18.0,47.22,66.27,-35.55,1.33,396.0,56.94,214.6,188.82,245.83,694.74,57.0,10.0,33.0,0.0,5.52,17.44,0.263,0.012
23,0.01,0.5,58.0,8.0,48.21,67.2,-11.02,26.23,211.05,36.69,139.56,114.94,173.73,363.88,58.0,42.0,0.0,0.0,32.8,51.79,0.328,0.014
